
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))

21229,2011-12-28,,울릉도,,대구(구 143),37.4554,131.1144,,,,,
22101,1996-07-01,,덕적도,,인천기상대(112),37.2361,126.0188,,,,,
22102,1996-07-01,,칠발도,,목포기상대(165),34.7933,125.7769,,,,,
22103,1997-05-01,,거문도,,광주지방기상청(156),34.0014,127.5014,,,,,
22104,1998-05-01,,거제도,,부산지방기상청(159),34.7667,128.900,,,,,
22105,2001-04-01,,동해,,강릉(구 105),37.5442,130.000,,,,,
22106,2008-11-15,,포항,,대구(구 143),36.350,129.7833,,,,,
22107,2008-11-15,,마라도,,제주지방기상청(184),33.0833,126.0333,,,,,
22108,2009-10-21,,외연도 ,,대전지방기상청(133),36.250,125.750,,,,,
22183,2025-05-20,,신안,,광주지방기상청(156),34.7333,126.2417,,,,,
22183,2013-06-21,2025-05-20,신안,,목포기상대(165),34.7333,126.2417,,,,,
22184,2014-01-14,,추자도,,제주지방기상청(184),33.7936,126.1411,,,,,
22185,2015-12-22,,인천,,인천기상대(112),37.0917,125.4289,,,,,
22186,2015-12-22,,부안,,전주기상대(146),35.6586,125.8139,,,,,
22187,2015-12-22,,서귀포,,제주지방기상청(184),33.1281,127.0228,,,,,
22188,2015-12-22,,통영,,부산지방기상청(159),34.3917,128.225,,,,,
22189,2015-12-22,,울산,,울산기상대(152),35.3453,129.8414,,,,,
22190,2015-12-09,,울진,,대구(구 143),36.9069,129.8744,,,,,
22191,2019-11-05,,서해170,,대전지방기상청(133),36.1333,124.0569,,,,,
22192,2019-11-02,,서해206,,광주지방기상청(156),34.000,123.2625,,,,,
22193,2025-06-17,,서해143,,인천기상대(112),37.500,124.0167,,,,,
22193,2019-12-09,2020-02-24,가거도,,광주지방기상청(156),34.0275,125.2147,,,,,
22194,2019-12-09,2020-02-24,홍도,,광주지방기상청(156),34.7467,125.2456,,,,,
22297,2020-02-24,,가거도,,광주지방기상청(156),34.0275,125.2147,,,,,
22298,2020-02-24,,홍도,,광주지방기상청(156),34.7467,125.2456,,,,,
22299,2020-11-25,,서해190,,광주지방기상청(156),35.000,124.130,,,,,
22300,2020-11-25,,남해239,,제주지방기상청(184),32.830,124.730,,,,,
22301,2021-09-15,,남해465,,제주지방기상청(184),31.6667,126.400,,,,,
22302,2021-09-15,,동해78,,대구(구 143),36.9667,130.5167,,,,,
22303,2021-08-27,,풍도,,,37.1583,126.410,,,,,
22304,2023-01-06,,남해244,,제주지방기상청(184),32.7222,127.2722,,,,,
22305,2023-03-06,,동해57,,강릉(구 105),38.3667,129.600,,,,,
22306,2022-12-16,,서해151,,서울기상관측소(108),37.050,124.6167,,,,,
22307,2025-07-31,,서해163,,대전지방기상청(133),36.750,125.6083,,,,,
22307,2022-12-16,2023-01-25,서해163,,서울기상관측소(108),36.750,125.6167,,,,,
22308,2022-12-16,,서해192,,서울기상관측소(108),35.2833,125.150,,,,,
22309,2023-11-16,,남해111,,부산지방기상청(159),33.775,128.375,,,,,
22310,2023-11-16,,고성,,강릉(구 105),38.3172,128.6392,,,,,
22311,2023-11-15,,삼척,,강릉(구 105),37.4639,129.3181,,,,,
22446,2025-05-20,,내파수도,,,36.4514,126.240,,,,,
22485,2025-05-31,,소매물도,,부산지방기상청(159),34.6214,128.538,,,,,
22489,2025-11-15,,대치마도,,목포기상대(165),35.0175,126.0319,,,,,
22493,2025-05-20,,자은,,광주지방기상청(156),34.9192,125.8681,,,,,
22510,2025-05-20,,위도동부,,전주기상대(146),35.643,126.3586,,,,,
22512,2025-06-01,,지심도,,부산지방기상청(159),34.8278,128.775,,,,,
22513,2025-06-01,,이수도,,부산지방기상청(159),34.9717,128.7583,,,,,
22514,2025-05-20,,구엄,,제주지방기상청(184),33.521,126.3749,,,,,
22515,2025-11-21,,위미,,제주지방기상청(184),33.2237,126.7112,,,,,
22520,2025-10-31,,강릉,,강릉(구 105),37.7983,129.0608,,,,,
22522,2025-05-22,,연평도,,,37.6194,125.6483,,,,,
22523,2025-05-30,,죽변,,대구(구 143),37.1028,129.4594,,,,,
