지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22489,2025-11-15 00:00:00,6.2,353.0,6.5,1024.2,59.0,13.4,15.2,0.9,0.6,0.4,6.1,324.0
22489,2025-11-15 01:00:00,6.2,16.0,6.9,1024.3,56.0,13.4,15.1,0.7,0.5,0.3,6.1,313.0
22489,2025-11-15 02:00:00,5.1,16.0,7.1,1024.6,57.0,13.4,14.9,0.8,0.5,0.3,6.2,318.0
22489,2025-11-15 03:00:00,4.9,3.0,5.2,1025.4,60.0,13.5,15.0,0.7,0.4,0.3,6.1,291.0
22489,2025-11-15 04:00:00,5.1,351.0,6.4,1026.0,59.0,13.4,15.1,0.9,0.3,0.2,6.2,271.0
22489,2025-11-15 05:00:00,4.0,87.0,4.2,1025.9,70.0,12.3,15.0,0.6,0.3,0.2,6.0,289.0
22489,2025-11-15 06:00:00,3.1,79.0,3.3,1026.2,68.0,11.8,15.0,0.6,0.3,0.2,7.2,294.0
22489,2025-11-15 07:00:00,2.1,84.0,2.5,1026.6,70.0,11.9,15.0,0.5,0.3,0.2,6.8,308.0
22489,2025-11-15 08:00:00,2.0,77.0,2.2,1027.1,63.0,12.0,15.1,0.6,0.3,0.2,6.7,320.0
22489,2025-11-15 09:00:00,3.0,92.0,3.0,1027.2,69.0,11.9,15.0,0.5,0.3,0.2,6.8,309.0
22489,2025-11-15 10:00:00,2.5,73.0,2.5,1027.3,64.0,12.5,15.0,0.4,0.3,0.2,6.7,317.0
22489,2025-11-15 17:00:00,3.1,353.0,3.4,1026.7,54.0,14.2,15.1,,,,,
22489,2025-11-15 18:00:00,2.7,278.0,3.2,,,,,,,,,
22489,2025-11-15 19:00:00,1.9,207.0,2.1,,,,,,,,,
22489,2025-11-15 20:00:00,1.2,147.0,1.6,,,,,,,,,
22489,2025-11-15 21:00:00,3.1,129.0,3.1,,,,,,,,,
22489,2025-11-15 22:00:00,1.7,141.0,2.5,,,,,,,,,
22489,2025-11-15 23:00:00,1.3,151.0,1.7,,,,,,,,,
22489,2025-11-16 00:00:00,1.7,60.0,2.1,,,,,,,,,
22489,2025-11-16 01:00:00,2.5,11.0,2.6,,,,,,,,,
22489,2025-11-16 02:00:00,2.2,338.0,2.2,,,,,,,,,
22489,2025-11-16 03:00:00,4.0,318.0,4.0,,,,,,,,,
22489,2025-11-16 04:00:00,4.3,318.0,4.5,,,,,,,,,
22489,2025-11-16 05:00:00,2.9,293.0,3.3,,,,,,,,,
22489,2025-11-16 06:00:00,3.7,285.0,4.0,,,,,,,,,
22489,2025-11-16 07:00:00,3.8,49.0,3.8,,,,,,,,,
22489,2025-11-16 08:00:00,3.6,41.0,3.7,,,,,,,,,
22489,2025-11-16 09:00:00,3.2,51.0,3.6,,,,,,,,,
22489,2025-11-16 10:00:00,3.7,51.0,4.2,,,,,,,,,
22489,2025-11-16 11:00:00,3.9,64.0,3.9,,,,,,,,,
22489,2025-11-16 12:00:00,2.4,56.0,3.1,,,,,,,,,
22489,2025-11-16 13:00:00,1.9,100.0,2.1,,,,,,,,,
22489,2025-11-16 14:00:00,2.8,32.0,3.2,,,,,,,,,
22489,2025-11-16 17:00:00,1.6,211.0,0.0,,,,,,,,,
22489,2025-11-16 18:00:00,0.9,264.0,1.0,,,,,,,,,
22489,2025-11-16 19:00:00,0.6,249.0,0.7,,,,,,,,,
22489,2025-11-16 20:00:00,1.8,175.0,1.8,,,,,,,,,
22489,2025-11-16 21:00:00,3.0,148.0,3.1,,,,,,,,,
22489,2025-11-16 22:00:00,2.6,139.0,2.6,,,,,,,,,
22489,2025-11-16 23:00:00,1.7,151.0,1.8,,,,,,,,,
22489,2025-11-17 00:00:00,4.6,160.0,4.9,,,,,,,,,
22489,2025-11-17 01:00:00,9.1,304.0,10.1,,,,,,,,,
22489,2025-11-17 02:00:00,9.6,307.0,11.0,,,,,,,,,
22489,2025-11-17 03:00:00,10.4,306.0,10.9,,,,,,,,,
22489,2025-11-17 04:00:00,10.2,299.0,11.6,,,,,,,,,
22489,2025-11-17 05:00:00,11.3,291.0,11.4,,,,,,,,,
22489,2025-11-17 06:00:00,9.6,291.0,10.5,,,,,,,,,
22489,2025-11-17 07:00:00,10.3,295.0,10.8,,,,,,,,,
22489,2025-11-17 08:00:00,10.4,302.0,11.0,,,,,,,,,
