지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22303,2025-01-01 00:00,2.4,283,3.1,1023.8,68,3.4,7.9,.4,.3,.2,3.2,243
22303,2025-01-01 01:00,1.9,294,3.3,1023.4,69,3.9,8,.4,.3,.2,3.8,246
22303,2025-01-01 02:00,1.3,283,2.5,1023.3,68,4.4,8.2,.5,.3,.2,3,236
22303,2025-01-01 03:00,1.9,123,4.9,1022.9,76,4,8.3,.4,.3,.2,5,243
22303,2025-01-01 04:00,4.5,129,6.1,1022.2,77,3.9,8.3,.4,.3,.2,5,239
22303,2025-01-01 05:00,4.7,133,6,1022,81,3.1,8.1,.4,.2,.2,4.8,243
22303,2025-01-01 06:00,2.4,152,4,1022,78,4.1,8,.4,.3,.2,3.8,219
22303,2025-01-01 07:00,3.5,279,4.2,1022.4,62,6.1,8,.4,.3,.2,2.2,160
22303,2025-01-01 08:00,2.4,189,3.4,1022.6,79,4.9,8.1,.4,.3,.2,2.3,125
22303,2025-01-01 09:00,4.5,292,5.7,1022.9,57,7.1,8,.4,.3,.2,5,239
22303,2025-01-01 10:00,4.3,295,5.7,1023.7,55,7.9,7.3,.4,.3,.2,6.3,153
22303,2025-01-01 11:00,4.9,271,6,1023.9,53,8.1,7.3,.3,.3,.2,5,234
22303,2025-01-01 12:00,5.1,264,6.2,1023.5,57,7.6,7.7,.4,.3,,4.2,233
22303,2025-01-01 13:00,5.3,269,7.1,1022.8,61,7.7,7.6,.4,.3,,4,236
22303,2025-01-01 14:00,6,271,7.3,1022,60,7.8,8.1,.4,.3,,4.3,241
22303,2025-01-01 15:00,6,271,7.2,1021.8,58,7.9,8.2,.4,.3,,4.3,227
22303,2025-01-01 16:00,6.2,275,7.4,1021.8,63,7.8,8.2,.5,.3,,4.5,232
22303,2025-01-01 17:00,5,287,7,1021.8,69,7.4,8.1,.3,.2,.1,5,247
22303,2025-01-01 18:00,5.6,286,7,1021.9,70,6.9,8.2,.4,.2,.2,5.3,243
22303,2025-01-01 19:00,6.2,311,7.3,1022.2,69,6.8,8.2,.5,.3,.2,5.6,250
22303,2025-01-01 20:00,6,308,7.5,1022.9,72,6.5,8,.6,.3,.3,5.6,278
22303,2025-01-01 21:00,7.2,321,8.9,1023.2,73,6.2,8,.6,.4,.3,5.9,257
22303,2025-01-01 22:00,6.6,346,8.2,1023.7,70,5.3,8.1,.6,.4,.3,6.3,248
22303,2025-01-01 23:00,6.2,356,7.8,1024.1,70,4.5,7.9,.6,.4,.3,3.8,270
22303,2025-01-02 00:00,5.4,11,6.7,1024.5,55,4.3,7.6,.5,.4,.3,4,246
22303,2025-01-02 01:00,5.1,1,6.6,1024.5,55,4.1,7.6,.4,.3,.2,3.7,260
22303,2025-01-02 02:00,4.2,348,6,1024.8,59,3.7,7.8,.4,.3,.2,4.5,246
22303,2025-01-02 03:00,4.2,351,5.6,1025,51,3.4,8,.5,.3,.2,4.3,239
22303,2025-01-02 04:00,5.4,345,6.6,1024.8,56,3.2,8.1,.4,.3,.2,4,253
22303,2025-01-02 05:00,5.3,343,6.9,1024.8,59,2.8,8.2,.3,.2,.2,3.8,270
22303,2025-01-02 06:00,4.6,16,5.8,1024.8,57,2.9,8,.4,.2,.2,4.3,247
22303,2025-01-02 07:00,6.1,2,7.6,1025,60,3,7.9,.4,.3,.2,3.2,340
22303,2025-01-02 08:00,6.5,5,8.5,1025.5,59,2.8,8,.5,.3,.3,2.3,357
22303,2025-01-02 09:00,5.8,3,7.4,1026.4,57,3.1,8.1,.6,.4,.3,2.7,350
22303,2025-01-02 10:00,5.1,12,6.5,1027.1,57,3.1,7.7,.4,.3,.2,2.6,327
