month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,83,-0.6558691357336012,0.7013748134485477,0.9362452292783255,0.8039292626069842
2,Feb,85,-0.37191341718259663,0.5392822013203973,0.6903304174135709,0.7864227126314077
3,Mar,74,0.11144499661433313,0.48053896030611326,0.5701202180194135,0.8809965940896715
4,Apr,88,0.21402676091936834,0.39940542567250215,0.4846618832059499,0.9665351073302
5,May,93,-0.21375754844644665,0.44269309885258296,0.5435753132131097,0.9786980742336172
6,Jun,120,-0.4726787574365609,0.5294476756812959,0.7214982016959224,0.9551241684639571
7,Jul,83,-0.5439175550362049,0.8168686264488514,1.0390536381130562,0.8975800872739718
8,Aug,119,-0.07002197751959466,0.513338004607751,0.6409786995660484,0.9111371508783193
9,Sep,109,0.10175276040094473,0.4757025100821433,0.6074210141975263,0.9729364803657037
10,Oct,124,-0.28832271746827565,0.42250900831335686,0.5519479071951287,0.9872792128329924
11,Nov,120,-0.6942554316382178,0.7272781998707752,0.8432902881353319,0.9746224271768357
12,Dec,116,-1.2489925734751703,1.2489925734751703,1.3876248472149968,0.8510928320055817
