month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,93,1.4476361576478993,1.4487193470892112,1.5529500995582395,0.6600197119127457
2,Feb,85,1.446613955778234,1.446613955778234,1.5156810022900036,0.8626137351719286
3,Mar,93,0.948276370266841,0.9511783854880027,1.0152915902939117,0.9156647348553719
4,Apr,87,0.7578774222598561,0.7578774222598561,0.8114791875856635,0.9768784955772639
5,May,93,0.0843095984807428,0.351897768850209,0.4294953346686879,0.9726769334826528
6,Jun,120,-0.18187390121389593,0.39507021603272263,0.5024610142386345,0.9566019496981201
7,Jul,124,-0.20054042012739423,0.30333349224338496,0.41382572396113587,0.9722235349861233
8,Aug,124,-0.3329654014573135,0.39582824221054147,0.5192376648542256,0.9267947878982637
9,Sep,120,0.03280584058899822,0.3839494339394683,0.5940920326199076,0.9846310236075293
10,Oct,104,0.6142268063897139,0.6220287699364498,0.8025654383210579,0.9779865964496931
11,Nov,92,0.8405202161792544,0.841413960447834,0.9916407255164054,0.9245883785609507
12,Dec,118,1.318792213227318,1.318792213227318,1.4875297470189115,0.7856779381248146
