month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,88,-0.4710983170942549,0.6800007317340458,0.8487083255278917,0.8530538139922367
2,Feb,56,-0.4455820708047778,0.5800313608986991,0.678772523910606,0.7105706969145661
3,Mar,62,0.0785199703708772,0.4223172746678835,0.5250403423399046,0.7257865300615147
4,Apr,59,-0.0010478725541108716,0.4216286750836561,0.5106097586327824,0.9127787042307928
5,May,62,-0.5756898572813859,0.6154422894210779,0.7445830417728629,0.9835603968329608
6,Jun,90,-0.7801443415437816,0.7897076067437961,0.8918528038591698,0.9626774233369654
7,Jul,93,-0.4175208610260025,0.5225230881148675,0.6759190912023575,0.9578772583888276
8,Aug,93,-0.48002503458702106,0.6934563539570856,0.7941066657064534,0.8764976540939684
9,Sep,84,-0.5839430058191691,0.7253456651596796,0.9246231896946357,0.9721164628514068
10,Oct,64,-0.7088578507088231,0.709229398248852,0.7973187259037385,0.9810955136105689
11,Nov,90,-0.7735770006792213,0.7882746231903434,0.8989386586322339,0.9595547148774592
12,Dec,94,-0.5274746550182948,0.6332545717445476,0.7783978147295956,0.9243866291786371
