month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,76,0.1492983099908845,0.7923186353671611,0.8999265987467506,0.7346357412746293
2,Feb,85,0.2564972006349816,0.36736315977644535,0.4764999486919309,0.8194482711256025
3,Mar,93,0.19239298208342806,0.3231729758608763,0.4202500697567544,0.8989424538906969
4,Apr,87,-0.059575634758889114,0.43796505908181277,0.5935669633391941,0.9119842531250377
5,May,93,0.007184643961389625,0.7561059548760354,0.9043547641984573,0.9135747968761412
6,Jun,120,0.026879299458674327,0.718947498948102,0.8812831624205624,0.9100985556505877
7,Jul,94,-0.5137577603476685,0.717104380731506,0.8650637122925506,0.9391130136181068
8,Aug,93,0.7830388292523954,0.9564699315943042,1.16213368066668,0.8118504922664513
9,Sep,90,0.25200170862362337,0.6592565470156463,0.7819528904865836,0.9186593975593498
10,Oct,93,-1.3685924122798678,1.3895358784429521,1.6089015368841966,0.9503883481466897
11,Nov,88,-1.8266087261747395,1.8440740639836213,2.0672832989708194,0.895064231148014
12,Dec,104,-0.7931871267512153,0.8669138878325556,1.1094051066356514,0.8613875238219078
